Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews,Discount Amount,Cluster,PC1,PC2
Women's adidas Originals Sleek Super Shoes,EE4504,7999,8.476371196895983,40,Adidas ORIGINALS,2.0,65,3199.6000000000004,2,0.27191532713045735,0.18229331565701118
Women's adidas Originals Taekwondo Team Shoes,EE4697,6599,8.283999304248526,40,Adidas ORIGINALS,3.8,3,2639.6000000000004,1,-0.027335236954682096,-0.44209639705400583
Men's adidas Swim Gladi 19 Slippers,CM0044,1599,6.866933284461882,40,Adidas CORE / NEO,4.7,74,639.6,2,0.26999054283944396,0.043992849123689726
Women's adidas Originals Supercourt Shoes,EE6045,7999,8.476371196895983,40,Adidas ORIGINALS,2.0,2,3199.6000000000004,1,0.04608680146532873,-0.3886182749405584
Women's adidas Originals Deerupt Runner Shoes,CG6091,9999,8.517193191416238,50,Adidas ORIGINALS,3.7,84,4999.5,2,0.41081906017812414,0.294541906137227
MEN'S ADIDAS ORIGINALS BOSTON SUPER X R1 SHOES,G27834,13999,8.85366542803745,50,Adidas ORIGINALS,3.6,34,6999.5,1,0.2281435538610052,-0.08532340256755017
Men's adidas Running Torik Shoes,CL7598,4799,7.783224016336037,50,Adidas CORE / NEO,3.9,54,2399.5,2,0.32685557315842956,-0.08909524100525107
Women's adidas Originals Sleek Shoes,EE4709,7599,8.425077902508432,40,Adidas ORIGINALS,2.8,49,3039.6000000000004,2,0.17870876471014557,0.01426681358801074
Women's adidas Originals Marathon Tech Shoes,EE4948,11999,8.881836305004146,40,Adidas ORIGINALS,4.9,35,4799.6,1,0.013189288644718078,-0.06899053155842272
Women's adidas Sport Inspired Court 80s Shoes,EE9671,6999,8.34283980427146,40,Adidas CORE / NEO,2.4,48,2799.6000000000004,1,0.19775886152693795,0.00036057222700358604
Women's adidas Originals Sambarose Shoes,EE7046,7999,8.476371196895983,40,Adidas ORIGINALS,4.8,25,3199.6000000000004,1,-0.0044924941324154255,-0.2326516627138324
Women's adidas Sport Inspired Archivo Shoes,EF0451,4999,8.160518247477505,30,Adidas CORE / NEO,4.6,51,1499.7,2,-0.036871308754630405,0.007129218791287251
Women's adidas Originals U_Path X Shoes,EE4561,7599,8.425077902508432,40,Adidas ORIGINALS,3.9,12,3039.6000000000004,1,-0.006180363085538931,-0.3416403168015279
Men's adidas Running Torik Shoes,CL7601,4799,7.783224016336037,50,Adidas CORE / NEO,3.7,51,2399.5,2,0.3256035931527838,-0.11253426231096253
Men's adidas Running Grito Shoes,CL7330,4799,7.783224016336037,50,Adidas CORE / NEO,3.8,31,2399.5,1,0.24916111804766589,-0.295649659560452
Women's adidas Sport Inspired Glenn W Shoes,CM6625,2499,7.4673710669175595,30,Adidas CORE / NEO,4.8,41,749.6999999999999,1,-0.04059274060096901,-0.15667583371501245
Women's adidas Originals Sleek Shoes,FV3395,7599,8.57922858233569,30,Adidas ORIGINALS,4.2,5,2279.7,1,-0.20320666657136802,-0.34555845545633296
Women's adidas Originals Continental Vulc Shoes,EF9317,6599,8.283999304248526,40,Adidas ORIGINALS,3.7,78,2639.6000000000004,2,0.24625912563586544,0.23943388087590162
Women's Originals Sleek Super Shoes,EF4954,7999,8.630521876723241,30,Adidas ORIGINALS,2.2,96,2399.7,2,0.21585393465406838,0.524608171565287
Women's adidas Originals Sleek Shoes,EE7104,7599,8.425077902508432,40,Adidas ORIGINALS,3.9,26,3039.6000000000004,1,0.044003753728934114,-0.21477107444651242
Women's adidas Originals Stan Smith Shoes,FV4070,7999,8.630521876723241,30,Adidas ORIGINALS,3.3,53,2399.7,2,0.009457328223609784,0.11432850873788464
Women's adidas Originals Continental 80 Shoes,FV3918,8999,8.748304912379623,30,Adidas ORIGINALS,4.3,78,2699.7,2,0.04696866450280668,0.34171729667953316
Women's adidas Originals Adilette Slides,EE5055,4999,8.006367567650246,40,Adidas ORIGINALS,2.0,90,1999.6000000000001,2,0.38413177953501926,0.34412751361673316
Women's adidas Sport Inspired Glenn W Shoes,CM6626,2499,7.4673710669175595,30,Adidas CORE / NEO,4.8,96,749.6999999999999,2,0.15655914688446065,0.3417390469654054
Women's adidas Originals Sleek Shoes,EE5292,7599,8.425077902508432,40,Adidas ORIGINALS,3.6,69,3039.6000000000004,2,0.21239332291242746,0.18051960872800848
Women's adidas Originals N-5923 Shoes,BD8041,7599,8.242756345714477,50,Adidas ORIGINALS,2.8,21,3799.5,1,0.23815180520977092,-0.30605787249674554
WOMEN'S ADIDAS ORIGINALS SWIFT RUN SHOES,B37719,7599,8.425077902508432,40,Adidas ORIGINALS,2.7,88,3039.6000000000004,2,0.3232582554920482,0.36956189689073543
Women's adidas Originals Sleek Super Shoes,EE4505,7999,8.476371196895983,40,Adidas ORIGINALS,3.7,32,3199.6000000000004,1,0.07285924048939835,-0.14860719451361265
Women's adidas Swim Jung Slippers,CM0072,999,6.214608098422191,50,Adidas CORE / NEO,3.2,20,499.5,1,0.34044324409568066,-0.5161235514911702
Women's adidas Sport Inspired Questar Flow Shoes,EF0795,6599,8.283999304248526,40,Adidas CORE / NEO,2.9,44,2639.6000000000004,1,0.16239045061911045,-0.05368815661911169
Women's adidas Originals Forest Grove Shoes,EE5875,6599,8.283999304248526,40,Adidas ORIGINALS,1.5,69,2639.6000000000004,2,0.3185172601128587,0.19909477626452993
Women's adidas Originals Marathon Tech Shoes,EE4947,11999,8.881836305004146,40,Adidas ORIGINALS,4.3,66,4799.6,2,0.1528165395262751,0.22317595411020125
Women's adidas Sport Inspired Glenn W Shoes,CM6627,2499,7.4673710669175595,30,Adidas CORE / NEO,3.4,65,749.6999999999999,2,0.11194948912031677,0.08704501042898516
Women's adidas Originals Sleek Shoes,CG6193,7599,8.57922858233569,30,Adidas ORIGINALS,1.0,15,2279.7,1,-0.015332719858883403,-0.19498164944836743
Women's adidas ORIGINALS SUPERSTAR BOUNCE PK Low Shoes,S82260,11999,8.476579508530941,60,Adidas ORIGINALS,3.5,51,7199.4,2,0.45974775037980914,-0.03302759535407468
Women's adidas Originals I-5923 Shoes,EE4945,11999,8.881836305004146,40,Adidas ORIGINALS,3.4,84,4799.6,2,0.2600968923334335,0.4031561535332842
Women's adidas Originals Sambarose Shoes,EE7155,7999,8.476371196895983,40,Adidas ORIGINALS,1.0,57,3199.6000000000004,2,0.290747485509465,0.12853283030596135
WOMEN'S ADIDAS SPORT INSPIRED ENERGY CLOUD V SHOES,B44846,5999,8.006367567650246,50,Adidas CORE / NEO,3.2,43,2999.5,1,0.3089838900080268,-0.1479682645086058
Women's adidas Originals Supercourt Shoes,EE6044,7999,8.476371196895983,40,Adidas ORIGINALS,4.0,83,3199.6000000000004,2,0.24142016991736664,0.3079384638383989
